"","Tumor_1","Tumor_2","Tumor_3","Tumor_4","Tumor_5","Tumor_6","Normal_1","Normal_2","Normal_3","Normal_4","Normal_5","Normal_6"
"GENE_00001",10,26,130,32,96,9,12,72,22,15,48,28
"GENE_00002",5,9,7,3,9,12,6,10,2,5,9,4
"GENE_00003",121,30,27,164,69,156,157,119,49,26,102,151
"GENE_00004",4,12,6,8,22,2,6,15,8,16,2,1
"GENE_00005",84,374,139,150,58,43,91,132,78,253,195,35
"GENE_00006",102,51,60,37,139,43,28,62,112,10,222,162
"GENE_00007",58,22,33,50,24,17,78,47,45,67,42,51
"GENE_00008",155,301,88,188,118,77,81,131,192,42,30,142
"GENE_00009",16,24,44,38,23,40,35,19,20,38,4,9
"GENE_00010",39,19,42,11,32,15,47,58,38,35,44,7
"GENE_00011",155,222,215,159,157,233,141,162,96,54,266,97
"GENE_00012",21,4,27,5,4,7,5,19,24,3,4,21
"GENE_00013",48,21,51,81,38,39,66,48,26,82,66,6
"GENE_00014",23,46,57,21,63,11,1,50,68,40,36,39
"GENE_00015",166,11,84,51,141,242,200,166,154,394,211,67
"GENE_00016",62,23,202,21,100,98,103,83,108,68,22,95
"GENE_00017",35,11,30,45,8,3,0,13,13,6,56,18
"GENE_00018",45,28,8,16,16,19,10,8,20,17,21,3
"GENE_00019",26,43,48,31,9,38,22,15,1,10,18,54
"GENE_00020",36,27,10,19,13,47,40,47,30,24,14,6
"GENE_00021",71,94,74,97,90,110,138,31,210,57,62,21
"GENE_00022",90,14,11,46,102,141,154,9,52,74,153,147
"GENE_00023",30,29,4,10,16,18,20,16,20,21,42,12
"GENE_00024",27,37,18,43,4,1,1,5,4,22,7,56
"GENE_00025",15,181,147,27,99,42,42,28,26,37,128,63
"GENE_00026",394,32,299,90,265,275,374,168,199,362,205,258
"GENE_00027",44,99,20,31,94,69,107,18,141,15,50,132
"GENE_00028",139,53,47,69,75,51,54,165,168,52,107,34
"GENE_00029",62,447,174,1017,144,564,441,116,41,111,718,163
"GENE_00030",35,6,22,1,32,26,50,26,13,3,27,24
"GENE_00031",170,145,195,73,327,244,35,355,83,9,88,83
"GENE_00032",54,93,2,84,42,69,62,11,16,71,23,12
"GENE_00033",51,20,46,60,36,56,9,40,195,19,40,5
"GENE_00034",25,92,70,91,20,52,51,14,82,58,38,30
"GENE_00035",217,89,66,415,204,31,39,128,230,108,68,77
"GENE_00036",277,78,371,19,42,105,84,237,16,147,27,25
"GENE_00037",59,184,65,44,107,6,140,111,129,60,72,162
"GENE_00038",165,135,11,9,52,67,59,242,48,8,110,54
"GENE_00039",284,174,181,138,15,113,46,193,336,134,285,23
"GENE_00040",190,186,126,306,165,321,277,830,62,65,180,33
"GENE_00041",121,93,253,64,54,19,210,127,193,204,67,130
"GENE_00042",10,17,98,105,91,32,84,131,216,50,26,15
"GENE_00043",9,23,91,17,64,46,52,20,31,7,54,149
"GENE_00044",77,28,57,47,5,76,15,29,74,28,26,54
"GENE_00045",44,23,185,18,107,79,82,59,27,67,43,52
"GENE_00046",16,29,99,31,32,138,97,41,26,53,190,26
"GENE_00047",66,45,44,26,219,164,8,38,23,100,89,149
"GENE_00048",35,60,147,75,28,115,14,42,55,25,14,107
"GENE_00049",9,98,65,21,73,617,77,51,20,150,53,318
"GENE_00050",16,48,127,141,20,107,23,290,426,54,227,49
"GENE_00051",109,341,250,181,64,92,40,77,183,53,46,157
"GENE_00052",6,47,61,61,131,33,209,131,174,128,13,166
"GENE_00053",103,29,14,22,32,34,182,25,34,77,17,24
"GENE_00054",65,148,100,33,27,307,63,27,104,64,115,227
"GENE_00055",370,138,475,83,202,86,176,23,148,160,229,81
"GENE_00056",27,92,19,89,69,33,76,23,65,21,28,81
"GENE_00057",20,9,14,5,19,12,11,1,36,14,14,10
"GENE_00058",80,87,83,81,58,81,132,135,41,18,36,154
"GENE_00059",49,40,25,36,94,169,16,43,34,8,10,23
"GENE_00060",143,169,164,85,183,199,267,138,304,172,159,86
"GENE_00061",103,54,67,13,68,99,109,38,59,79,31,144
"GENE_00062",18,3,71,29,56,42,106,34,2,90,111,58
"GENE_00063",29,58,12,27,5,4,7,1,22,15,12,35
"GENE_00064",232,289,174,289,256,75,30,70,54,103,49,49
"GENE_00065",262,91,119,198,37,26,171,32,53,113,130,58
"GENE_00066",3,19,15,18,21,1,8,0,38,31,31,9
"GENE_00067",247,278,342,277,392,65,449,166,638,54,232,259
"GENE_00068",224,191,226,212,301,347,53,360,77,131,149,425
"GENE_00069",11,90,160,261,72,93,51,220,31,87,82,171
"GENE_00070",7,60,22,37,38,56,8,59,36,36,15,3
"GENE_00071",190,32,26,77,61,57,21,172,41,51,95,137
"GENE_00072",4,83,105,27,187,87,8,46,99,153,70,102
"GENE_00073",54,69,13,59,12,27,37,26,11,33,23,137
"GENE_00074",183,105,96,25,100,153,395,14,111,63,127,161
"GENE_00075",16,30,86,20,5,10,67,8,53,115,93,55
"GENE_00076",172,45,85,5,53,67,199,69,116,192,81,58
"GENE_00077",18,2,34,27,25,11,38,34,12,6,23,28
"GENE_00078",259,147,338,146,58,274,178,140,245,54,327,40
"GENE_00079",10,13,12,5,5,22,5,5,16,16,6,30
"GENE_00080",17,10,2,32,25,12,7,14,18,6,33,40
"GENE_00081",100,22,16,4,164,86,44,30,72,15,35,97
"GENE_00082",10,22,148,22,20,28,8,141,12,36,123,34
"GENE_00083",63,191,4,75,84,127,195,58,144,92,55,344
