"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","direction"
"IGKV1D-8",60.404078435484,-3.96220593200558,0.506374307527338,-7.8246583073168,5.09037601805895e-15,2.50802826409765e-11,"Significant","Downregulated"
"GABPA",191.513359718062,-4.26985090170922,0.565297757391745,-7.55327762383156,4.24438912685848e-14,1.67296841824254e-10,"Significant","Downregulated"
"ZBTB37",24.5882349715011,-3.990059366938,0.568197703910059,-7.02230814992803,2.18232553771969e-12,5.37615896217245e-09,"Significant","Downregulated"
"TNFSF8",79.7511258321525,-4.19042973966754,0.60844302839387,-6.88713576146838,5.69268904968438e-12,1.24657239767977e-08,"Significant","Downregulated"
"ZBTB25",27.8566199506987,-4.00273718912623,0.592405639573958,-6.75675064809459,1.41120749132073e-11,2.7812077238949e-08,"Significant","Downregulated"
"BCL11B",69.8099861217583,-3.99276462307935,0.592678662056901,-6.73681183193333,1.61899622096521e-11,2.90065250207113e-08,"Significant","Downregulated"
"IGHV4-30-4",143.204130941558,-3.39746670286703,0.508856526337936,-6.67666921227761,2.44433807808324e-11,3.70561652637419e-08,"Significant","Downregulated"
"MADCAM1",24.9772767978011,-4.28806522133158,0.664714803819022,-6.45098498889317,1.11125508039999e-10,1.21670084025128e-07,"Significant","Downregulated"
"IL2RA",69.3292860387619,-3.47441759328555,0.549719344738043,-6.320348058592,2.60974821068311e-10,2.57164588680714e-07,"Significant","Downregulated"
"DEFB124",68.7000658132988,-2.5893333788344,0.41185308148082,-6.28703169956734,3.23593321314846e-10,2.89880780748772e-07,"Significant","Downregulated"
"ARRB2",72.3456127038572,-3.26368007181659,0.520117539972683,-6.27488946438529,3.49882769401687e-10,2.9980389649428e-07,"Significant","Downregulated"
"PSPC1",212.920197939706,-2.83303526540804,0.452843356451986,-6.25610429090709,3.94712845906764e-10,3.24125031963771e-07,"Significant","Downregulated"
"SLAMF9",54.8576447435227,-3.82784893166343,0.6146179964958,-6.22801309673266,4.72387587823477e-10,3.58069791570196e-07,"Significant","Downregulated"
"ZDHHC1",33.1603773447454,-3.41023537993224,0.554158434350536,-6.15389962245901,7.56005437657827e-10,5.02072440316493e-07,"Significant","Downregulated"
"CTSH",18.2340746873335,-3.97018437831609,0.653454112710174,-6.07568963312499,1.23455987659878e-09,7.60334564000276e-07,"Significant","Downregulated"
"KLF13",103.380708992094,-3.00257703598747,0.496010644428413,-6.05345282347225,1.41773605891697e-09,8.46689159064717e-07,"Significant","Downregulated"
"REG3A",111.661134742067,-3.60777832868061,0.60009101603821,-6.01205189255972,1.83189658028136e-09,1.03151479440529e-06,"Significant","Downregulated"
"UNC13D",33.0776307859204,-4.12590556209688,0.692267552553337,-5.95998692540048,2.52258115594102e-09,1.34364944381853e-06,"Significant","Downregulated"
"TRBV7-6",17.9961240652564,-3.7231033075071,0.631502613157245,-5.89562613033882,3.73263257028874e-09,1.9012367575597e-06,"Significant","Downregulated"
"ALAS2",81.4437694871004,-3.22597235299409,0.549902941171289,-5.86643953226145,4.45252537909256e-09,2.1937592542789e-06,"Significant","Downregulated"
"ARNT",61.4234462928364,-3.17656603870299,0.543095180107374,-5.84900429069351,4.94524334239914e-09,2.36223625369573e-06,"Significant","Downregulated"
"MMP28",61.0682824437147,-2.95499140235727,0.506999987577051,-5.8283855518008,5.59661584956656e-09,2.48585918061271e-06,"Significant","Downregulated"
"GRP",122.669132061481,-3.41465903126824,0.586103660902925,-5.82603259295083,5.67605353803389e-09,2.48585918061271e-06,"Significant","Downregulated"
"ADORA1",98.1125671367845,-3.54823339589143,0.618893240517754,-5.73319138681019,9.85583136106999e-09,4.22258096660799e-06,"Significant","Downregulated"
"BATF3",43.3228090734228,-3.87430941234753,0.67939002650684,-5.70262921324843,1.17973419707002e-08,4.94685139486298e-06,"Significant","Downregulated"
"TRAV38-2DV8",82.0992479510793,-2.96203956904457,0.520535503048195,-5.69036992039778,1.26764449189989e-08,5.20473700965896e-06,"Significant","Downregulated"
"ITPRIPL1",128.169205861274,-3.02475406111677,0.532953174495507,-5.67545931962973,1.38317012207634e-08,5.5631666869144e-06,"Significant","Downregulated"
"SELPLG",75.4823387995546,-3.44851731715948,0.611616642645514,-5.63836409395779,1.7167323112962e-08,6.50641545981261e-06,"Significant","Downregulated"
"TRIM63",106.868350618013,-3.071026604925,0.547600286395719,-5.6081537596307,2.04496313661795e-08,7.46335805490123e-06,"Significant","Downregulated"
"TRAV24",30.3535701263463,-3.00231426448735,0.535076212661432,-5.61100305609559,2.01157212168212e-08,7.46335805490123e-06,"Significant","Downregulated"
"MIR125A",41.964749904022,-3.17551146348507,0.5672904674291,-5.59768169184325,2.17237135408378e-08,7.78419902659694e-06,"Significant","Downregulated"
"LRRC17",51.0451153170184,-3.79107532680387,0.679588841346341,-5.5784837774754,2.42624097761613e-08,8.38883459418574e-06,"Significant","Downregulated"
"TRIM40",39.4913350885852,-3.33067048905323,0.597883907117135,-5.57076457386685,2.53623850768026e-08,8.61796353609701e-06,"Significant","Downregulated"
"CYSLTR1",90.0839991351579,-2.91662355095199,0.525810244028355,-5.54691275812174,2.90757726616344e-08,8.97599098411055e-06,"Significant","Downregulated"
"SKAP1",25.4410013902664,-3.20964165499499,0.57839433413471,-5.54922734469155,2.8693485687239e-08,8.97599098411055e-06,"Significant","Downregulated"
"LOXL3",45.1330433143395,-2.96940709843002,0.535630378501357,-5.54376155202052,2.96041919001008e-08,8.97599098411055e-06,"Significant","Downregulated"
"PRG3",63.3513949476126,-2.99594260309593,0.541702980197449,-5.53060018610921,3.19136963893791e-08,9.52962315821036e-06,"Significant","Downregulated"
"IFI6",43.3199116914131,-3.89473071943446,0.711197479103949,-5.4762999502494,4.34311258416905e-08,1.20555018040568e-05,"Significant","Downregulated"
"RNF39",30.1689305157626,-3.17652592366574,0.580339501748236,-5.47356489450857,4.41071256664733e-08,1.20731004532619e-05,"Significant","Downregulated"
"DROSHA",41.4959788075667,-3.01318413521665,0.553198288884384,-5.44684283332336,5.12717289349648e-08,1.36549085655444e-05,"Significant","Downregulated"
"TRAV12-1",17.3852008790426,-4.30265815803677,0.791333439648332,-5.43722524849812,5.41167071606007e-08,1.42204275296149e-05,"Significant","Downregulated"
"SLC15A2",20.5777507408534,-3.20878654061069,0.592941298364251,-5.4116428548033,6.24491456428025e-08,1.59858170459637e-05,"Significant","Downregulated"
"PSTPIP1",93.0681364195381,-2.6025399040756,0.483155334914506,-5.38654903714583,7.18233402019617e-08,1.81473639576957e-05,"Significant","Downregulated"
"IFITM2",34.088200459311,-2.66531526055029,0.495610010041411,-5.37784791781665,7.53814479809591e-08,1.88052857823891e-05,"Significant","Downregulated"
"GPR32P1",118.53263528523,-3.42072827487651,0.637003979838254,-5.37002653538381,7.87250575367803e-08,1.91544868387021e-05,"Significant","Downregulated"
"SPRR2A",35.9780363706887,-3.04888181841493,0.567619942874413,-5.37134372512612,7.81520793789477e-08,1.91544868387021e-05,"Significant","Downregulated"
"MICB",16.7682105431978,-3.02421484173127,0.568014723049234,-5.32418389702398,1.0140727734418e-07,2.37526872447835e-05,"Significant","Downregulated"
"CD72",38.2696747437026,-3.12955954423051,0.58800517164892,-5.32233336563079,1.0244461212739e-07,2.37526872447835e-05,"Significant","Downregulated"
"CSF2RB",53.8669161815422,-2.81082916533641,0.53095156779694,-5.29394644599938,1.19704501906257e-07,2.71165094663047e-05,"Significant","Downregulated"
"IGHV3-23",12.3422146674429,-4.36272192561373,0.832769113085029,-5.238813324202,1.61612409191428e-07,3.53895262260517e-05,"Significant","Downregulated"
"SENP1",33.8293021484589,-3.65324599953742,0.698857500206148,-5.22745480796843,1.71859386400298e-07,3.68152694258377e-05,"Significant","Downregulated"
"CFP",72.2367958063836,-3.22190382396685,0.628269861291763,-5.12821642811643,2.925000662862e-07,5.86153149235341e-05,"Significant","Downregulated"
"TNFSF11",43.1102237781296,-2.8454454926559,0.554621542417699,-5.13042728245295,2.89085221535942e-07,5.86153149235341e-05,"Significant","Downregulated"
"IGLV3-9",81.3629178854834,-2.99662076639408,0.585599008243134,-5.11718893681923,3.10122929013588e-07,6.0513887970295e-05,"Significant","Downregulated"
"CHID1",16.2049830859252,-3.25347281802965,0.643111481354636,-5.05895620332669,4.21557666481311e-07,7.91243665810825e-05,"Significant","Downregulated"
"ABHD17A",23.9852831008511,-2.90476071135316,0.576049067730521,-5.04255778556701,4.59349973131619e-07,8.460625486428e-05,"Significant","Downregulated"
"AMBP",55.2629551434526,-2.62674736147486,0.520893327868843,-5.04277405936797,4.58830910448761e-07,8.460625486428e-05,"Significant","Downregulated"
"NUDCD1",68.3350734634174,-3.49055035457233,0.693365296786924,-5.03421554373668,4.79809564907391e-07,8.67530908733474e-05,"Significant","Downregulated"
"KIR2DL5B",195.480066615785,-3.13448662131857,0.62242833245742,-5.03589964959219,4.7560969161796e-07,8.67530908733474e-05,"Significant","Downregulated"
"CD320",101.570948200501,-2.54867926302023,0.5116905168408,-4.98089993685224,6.32892604892475e-07,0.00011339134052019,"Significant","Downregulated"
"CCL17",17.8671599292187,-2.88154328246844,0.57954741445668,-4.97205786893185,6.6245923201037e-07,0.000114524092495266,"Significant","Downregulated"
"DEFA1",41.9549271358165,-2.62744611640122,0.528329344625848,-4.97312167708936,6.58832794115292e-07,0.000114524092495266,"Significant","Downregulated"
"PLA2G5",51.1991803280737,-2.68830226552873,0.54190620316809,-4.96082578463282,7.01941266528862e-07,0.000120294421571746,"Significant","Downregulated"
"IRAK2",37.032470690017,-2.96225020645211,0.600184699886437,-4.93556434712948,7.99193248521391e-07,0.000134619662750937,"Significant","Downregulated"
"TREM1",51.1832937645517,-2.97850105031849,0.604021215406143,-4.93111992484527,8.17595186583182e-07,0.000136552253704927,"Significant","Downregulated"
"TLR9",32.6515967164492,-3.41461442259584,0.693255211004982,-4.92547963346114,8.41536760586153e-07,0.000139369802333041,"Significant","Downregulated"
"S100A8",43.6466849665189,-2.66296552149899,0.541068615723322,-4.92167803512136,8.58052940909058e-07,0.000140920894661964,"Significant","Downregulated"
"TRAV9-2",19.6005994612553,-2.88712700232689,0.588105154017014,-4.90920200682915,9.14477425019001e-07,0.000148946455308053,"Significant","Downregulated"
"CLEC2B",31.7702790913527,-2.78486483729187,0.568628424423061,-4.89751253662255,9.70574438902316e-07,0.000156787549523663,"Significant","Downregulated"
"CD247",72.3635178503822,-2.48211487122098,0.508000912778801,-4.88604411681789,1.02882154523254e-06,0.00016351625010841,"Significant","Downregulated"
"H4C16",36.0753985370193,-3.22377706896281,0.660502343526515,-4.88079580724969,1.05658598904314e-06,0.000166585573376497,"Significant","Downregulated"
"RAB44",24.121940594439,-3.1258534089311,0.641921273530214,-4.86952767858997,1.11865314184378e-06,0.000174971556503629,"Significant","Downregulated"
"IGLV3-32",104.793927557369,-2.56661069409271,0.529241849749755,-4.84959890323545,1.23711374094785e-06,0.000190476856301564,"Significant","Downregulated"
"NLRP6",164.488063245634,-2.2453413184002,0.463829083462689,-4.840880829718,1.29264877070269e-06,0.000197484666457431,"Significant","Downregulated"
"MIR128-1",117.000500917995,-2.45492058340586,0.508068686700444,-4.83186751647476,1.35258254303044e-06,0.000205051513523414,"Significant","Downregulated"
"TRPM2",24.3089029242549,-3.06540746618755,0.635521642607022,-4.82345094277625,1.41095481875311e-06,0.000211471219731717,"Significant","Downregulated"
"VPREB3",54.0313585417723,-2.88559003163317,0.604893671741029,-4.77040869567664,1.83852507999615e-06,0.000268397424270845,"Significant","Downregulated"
"CD209",33.4153258237547,-3.43253685425178,0.726960955280264,-4.72176233031448,2.33809809075885e-06,0.000338817920387319,"Significant","Downregulated"
"IGHV2-70D",110.497666262242,-2.73107571986414,0.580290400322194,-4.70639479534345,2.5213600942564e-06,0.000360079454620326,"Significant","Downregulated"
