"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","direction"
"ANXA1",1498.4342387407,4.07443447163628,0.50339633350871,8.09388984468196,5.77889538735735e-16,1.13890470294039e-11,"Significant","Upregulated"
"MCM5",245.931246768541,3.690069091452,0.464189943114776,7.94948091010146,1.87294639457603e-15,1.5130986462933e-11,"Significant","Upregulated"
"ZFP36L1",898.609124779551,3.9363791956384,0.496778123611022,7.92381751238424,2.30327579606246e-15,1.5130986462933e-11,"Significant","Upregulated"
"SEH1L",558.648158818371,3.22208885990181,0.452138783688268,7.12632708394977,1.03082594304725e-12,2.90221681222502e-09,"Significant","Upregulated"
"ATR",1339.74063135105,2.81490549531499,0.394969327323524,7.12689644633915,1.02657264517979e-12,2.90221681222502e-09,"Significant","Upregulated"
"TGFB2",1295.66759430134,3.04898236066318,0.456373819453868,6.68088797098797,2.37498738021167e-11,3.70561652637419e-08,"Significant","Upregulated"
"PPP1R9B",591.499763670384,4.07352271208389,0.620048020129696,6.5696890883255,5.04204295346813e-11,6.21053640793438e-08,"Significant","Upregulated"
"ARL8A",380.702933953734,3.55131464592161,0.539180178323856,6.58650816311821,4.50290809748399e-11,6.21053640793438e-08,"Significant","Upregulated"
"MAP10",737.455623884288,3.22431123799578,0.490472094669434,6.57389334283919,4.90163490112126e-11,6.21053640793438e-08,"Significant","Upregulated"
"ZNF16",184.669956758389,3.16677492561797,0.486970322197233,6.50301421107007,7.87263554134434e-11,9.12670007345966e-08,"Significant","Upregulated"
"TERF2",87.2036508025531,3.98379170220726,0.630094649735452,6.32252901033182,2.57316695074231e-10,2.57164588680714e-07,"Significant","Upregulated"
"THOC2",503.002649005456,3.56297471147619,0.564614201412616,6.31045889841583,2.78209293724019e-10,2.61092798129188e-07,"Significant","Upregulated"
"PSMA8",660.226198832397,3.40220316818303,0.544738562543377,6.24557063171402,4.22255663069707e-10,3.32872584311111e-07,"Significant","Upregulated"
"KDF1",652.451472597327,3.61759719023929,0.581831133537815,6.2176067620214,5.04794693519495e-10,3.68462734069712e-07,"Significant","Upregulated"
"NYNRIN",924.695133744315,3.98984850031874,0.645229230135931,6.18361399944356,6.26504524320896e-10,4.40969684475579e-07,"Significant","Upregulated"
"KIAA1614",127.285624801096,2.82508519371607,0.459200924880054,6.15217661953532,7.64266958062452e-10,5.02072440316493e-07,"Significant","Upregulated"
"SND1",137.40305770982,2.99269378646035,0.491913889593976,6.08377573751884,1.17384766979628e-09,7.46264189559521e-07,"Significant","Upregulated"
"PKHD1",99.670829207196,3.69012306108709,0.610318137622604,6.04622873483881,1.48275549580975e-09,8.59474862100545e-07,"Significant","Upregulated"
"TNKS",846.999309251126,3.5533742406877,0.595885649747843,5.96318142950977,2.47373488269046e-09,1.34364944381853e-06,"Significant","Upregulated"
"ASCC3",95.6120597274438,3.39449327752095,0.575892550610078,5.89431704564499,3.76234186852184e-09,1.9012367575597e-06,"Significant","Upregulated"
"PNKP",195.264601527098,3.07514944933978,0.52602284266326,5.84603785221619,5.0341953853877e-09,2.36223625369573e-06,"Significant","Upregulated"
"CUL1",553.155210491828,3.46023454021257,0.592666280376954,5.83841978999001,5.26982422094948e-09,2.41529524991796e-06,"Significant","Upregulated"
"TAOK3",230.615724767398,2.86977668836616,0.506463635062455,5.66630354025767,1.45910950513502e-08,5.75122602544021e-06,"Significant","Upregulated"
"MIR590",70.6321800969809,3.25589568028132,0.57579656849312,5.65459375487789,1.5621530981608e-08,6.03664965853982e-06,"Significant","Upregulated"
"CENATAC",248.18818139112,2.8888296044076,0.517702929884606,5.58009127947473,2.40392396258531e-08,8.38883459418574e-06,"Significant","Upregulated"
"CDK18",151.731277037705,2.85724492745061,0.514753427296105,5.55070598064619,2.84518255780609e-08,8.97599098411055e-06,"Significant","Upregulated"
