"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","direction"
"ANXA1",1498.4342387407,4.07443447163628,0.50339633350871,8.09388984468196,5.77889538735735e-16,1.13890470294039e-11,"Significant","Upregulated"
"MCM5",245.931246768541,3.690069091452,0.464189943114776,7.94948091010146,1.87294639457603e-15,1.5130986462933e-11,"Significant","Upregulated"
"ZFP36L1",898.609124779551,3.9363791956384,0.496778123611022,7.92381751238424,2.30327579606246e-15,1.5130986462933e-11,"Significant","Upregulated"
"IGKV1D-8",60.404078435484,-3.96220593200558,0.506374307527338,-7.8246583073168,5.09037601805895e-15,2.50802826409765e-11,"Significant","Downregulated"
"GABPA",191.513359718062,-4.26985090170922,0.565297757391745,-7.55327762383156,4.24438912685848e-14,1.67296841824254e-10,"Significant","Downregulated"
"SEH1L",558.648158818371,3.22208885990181,0.452138783688268,7.12632708394977,1.03082594304725e-12,2.90221681222502e-09,"Significant","Upregulated"
"ATR",1339.74063135105,2.81490549531499,0.394969327323524,7.12689644633915,1.02657264517979e-12,2.90221681222502e-09,"Significant","Upregulated"
"ZBTB37",24.5882349715011,-3.990059366938,0.568197703910059,-7.02230814992803,2.18232553771969e-12,5.37615896217245e-09,"Significant","Downregulated"
"TNFSF8",79.7511258321525,-4.19042973966754,0.60844302839387,-6.88713576146838,5.69268904968438e-12,1.24657239767977e-08,"Significant","Downregulated"
"ZBTB25",27.8566199506987,-4.00273718912623,0.592405639573958,-6.75675064809459,1.41120749132073e-11,2.7812077238949e-08,"Significant","Downregulated"
"BCL11B",69.8099861217583,-3.99276462307935,0.592678662056901,-6.73681183193333,1.61899622096521e-11,2.90065250207113e-08,"Significant","Downregulated"
"TGFB2",1295.66759430134,3.04898236066318,0.456373819453868,6.68088797098797,2.37498738021167e-11,3.70561652637419e-08,"Significant","Upregulated"
"IGHV4-30-4",143.204130941558,-3.39746670286703,0.508856526337936,-6.67666921227761,2.44433807808324e-11,3.70561652637419e-08,"Significant","Downregulated"
"PPP1R9B",591.499763670384,4.07352271208389,0.620048020129696,6.5696890883255,5.04204295346813e-11,6.21053640793438e-08,"Significant","Upregulated"
"ARL8A",380.702933953734,3.55131464592161,0.539180178323856,6.58650816311821,4.50290809748399e-11,6.21053640793438e-08,"Significant","Upregulated"
"MAP10",737.455623884288,3.22431123799578,0.490472094669434,6.57389334283919,4.90163490112126e-11,6.21053640793438e-08,"Significant","Upregulated"
"ZNF16",184.669956758389,3.16677492561797,0.486970322197233,6.50301421107007,7.87263554134434e-11,9.12670007345966e-08,"Significant","Upregulated"
"MADCAM1",24.9772767978011,-4.28806522133158,0.664714803819022,-6.45098498889317,1.11125508039999e-10,1.21670084025128e-07,"Significant","Downregulated"
"TERF2",87.2036508025531,3.98379170220726,0.630094649735452,6.32252901033182,2.57316695074231e-10,2.57164588680714e-07,"Significant","Upregulated"
"IL2RA",69.3292860387619,-3.47441759328555,0.549719344738043,-6.320348058592,2.60974821068311e-10,2.57164588680714e-07,"Significant","Downregulated"
"THOC2",503.002649005456,3.56297471147619,0.564614201412616,6.31045889841583,2.78209293724019e-10,2.61092798129188e-07,"Significant","Upregulated"
"DEFB124",68.7000658132988,-2.5893333788344,0.41185308148082,-6.28703169956734,3.23593321314846e-10,2.89880780748772e-07,"Significant","Downregulated"
"ARRB2",72.3456127038572,-3.26368007181659,0.520117539972683,-6.27488946438529,3.49882769401687e-10,2.9980389649428e-07,"Significant","Downregulated"
"PSPC1",212.920197939706,-2.83303526540804,0.452843356451986,-6.25610429090709,3.94712845906764e-10,3.24125031963771e-07,"Significant","Downregulated"
"PSMA8",660.226198832397,3.40220316818303,0.544738562543377,6.24557063171402,4.22255663069707e-10,3.32872584311111e-07,"Significant","Upregulated"
"SLAMF9",54.8576447435227,-3.82784893166343,0.6146179964958,-6.22801309673266,4.72387587823477e-10,3.58069791570196e-07,"Significant","Downregulated"
