"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007049","cell cycle","108/132","159/1933",0.679245283018868,9.94682675814751,31.8731108102085,3.37111712656263e-112,5.13758250088145e-109,3.18659282068763e-109,"ANXA1/ZFP36L1/SEH1L/ATR/TGFB2/PPP1R9B/ARL8A/MAP10/ZNF16/TERF2/PSMA8/KIAA1614/SND1/PKHD1/TNKS/CUL1/TAOK3/MIR590/CENATAC/CDK18/TUBB6/CEP135/TPD52L1/XRCC3/SYF2/RB1/CDKN2D/CNTROB/CENPN/PAF1/IHO1/GIT1/STAG3/CCNJ/CCNJL/KIFC1/RAD54L/CEBPA/SMIM22/C14orf39/ZBED3/RPS6KA2/PRKCB/IER3/OIP5/HSF2BP/CCNI/CDK10/NUDC/DNM2/HORMAD2/MCRS1/CREB3/CDK20/SLF2/FBXW11/KNTC1/PRCC/CCNY/ZNRF4/ATM/CCNL2/RAB35/PIM3/BCL7A/ZNF365/WDR76/IGF2/HECW2/MIR29A/CPAP/PARP3/CLSPN/PRPF40A/CDK17/MBLAC1/GPER1/PPP1R12A/MIR892B/TICRR/MTMR4/TOM1L2/FGF10/PRKAG1/NAA10/MCM6/BCAS2/GEM/MCIDAS/BMP7/SPC24/FOXM1/HNRNPU/CEP295/PIK3R4/GRK5/CABLES2/CROCC/MAGEA5P/ZNF503/CHMP4C/MDC1/CUL7/UPF1/CHMP2B/UBE2B/CEP85/SIX3",108
"GO:0051726","regulation of cell cycle","74/132","109/1933",0.678899082568807,9.94175701973867,26.0110190124229,1.8071830062551e-69,9.18048967177593e-67,5.69421171795468e-67,"ANXA1/ZFP36L1/ATR/TGFB2/PPP1R9B/MAP10/ZNF16/TERF2/PSMA8/SND1/PKHD1/TNKS/TAOK3/MIR590/CENATAC/CDK18/XRCC3/SYF2/RB1/CDKN2D/PAF1/IHO1/GIT1/CEBPA/SMIM22/RPS6KA2/IER3/CDK10/MCRS1/CREB3/CDK20/SLF2/KNTC1/PRCC/CCNY/ZNRF4/ATM/CCNL2/PIM3/BCL7A/WDR76/IGF2/HECW2/MIR29A/CPAP/PARP3/CLSPN/PRPF40A/CDK17/MBLAC1/GPER1/MIR892B/TICRR/TOM1L2/FGF10/PRKAG1/NAA10/MCIDAS/BMP7/SPC24/FOXM1/HNRNPU/CEP295/PIK3R4/GRK5/CABLES2/MAGEA5P/CHMP4C/MDC1/CUL7/CHMP2B/UBE2B/CEP85/SIX3",74
"GO:0051301","cell division","38/132","56/1933",0.678571428571429,9.93695887445888,18.3689912319992,1.70782629634337e-33,3.25340909453412e-31,2.01793159752151e-31,"SEH1L/TGFB2/ARL8A/MAP10/ZNF16/THOC2/KDF1/TNKS/WNT3A/PPP1CB/RB1/CNTROB/GIT1/KIFC1/VEGFA/USP39/CEP164/OIP5/DLL1/NUDC/VEGFB/CDK20/KNTC1/CCNY/RAB35/ZNF365/IGF2/CPAP/PRPF40A/MTMR4/SMYD5/SPC24/HNRNPU/PIK3R4/CABLES2/CHMP4C/CUL7/CHMP2B",38
"GO:0006996","organelle organization","77/132","337/1933",0.228486646884273,3.34594460929772,12.8277335611579,2.16293857899274e-28,2.74693199532078e-26,1.70378845959253e-26,"ANXA1/SEH1L/ATR/TGFB2/PPP1R9B/MAP10/TERF2/PSMA8/KIAA1614/PKHD1/TNKS/ASCC3/PNKP/CUL1/CENATAC/TUBB6/CEP135/WNT3A/XRCC3/RB1/CNTROB/CENPN/IHO1/GIT1/STAG3/KIFC1/RAD54L/CEBPA/SMIM22/C14orf39/ZBED3/RPS6KA2/CEP164/PRKCB/IER3/OIP5/HSF2BP/CDK10/NUDC/DNM2/HORMAD2/MCRS1/SLF2/FBXW11/KNTC1/ATM/CCNL2/BCL7A/ZNF365/IGF2/HECW2/MIR29A/CPAP/PARP3/PRPF40A/GPER1/PPP1R12A/MTMR4/TOM1L2/FGF10/NAA10/BCAS2/GEM/POLG2/MCIDAS/BMP7/SPC24/HNRNPU/CEP295/CROCC/CHMP4C/CUL7/UPF1/CHMP2B/UBE2B/CEP85/TRAPPC4",77
"GO:0007059","chromosome segregation","28/132","38/1933",0.736842105263158,10.7902711323764,16.4974028944979,3.51193888317025e-26,3.82299632710819e-24,2.37121888502773e-24,"SEH1L/ARL8A/MAP10/TNKS/CENATAC/XRCC3/RB1/CENPN/IHO1/STAG3/KIFC1/C14orf39/OIP5/NUDC/KNTC1/ATM/BCL7A/HECW2/CPAP/BCAS2/GEM/SPC24/HNRNPU/MAGEA5P/CHMP4C/CHMP2B/UBE2B/CEP85",28
"GO:0006259","DNA metabolic process","39/132","99/1933",0.393939393939394,5.7688246097337,13.1844783646104,2.70881632015652e-22,2.17275582732555e-20,1.34765487839366e-20,"MCM5/ATR/TERF2/NYNRIN/TNKS/ASCC3/PNKP/TAOK3/RBMS1/XRCC3/CDKN2D/HCRT/POLD2/IHO1/SUPT16H/VEGFA/RAD54L/C14orf39/CEP164/IER3/HSF2BP/MCRS1/SLF2/ATM/BCL7A/ZNF365/ORC2/PARP3/CLSPN/TICRR/FGF10/MCM6/POLG2/MCIDAS/FOXM1/HNRNPU/MDC1/UPF1/UBE2B",39
"GO:0033043","regulation of organelle organization","41/132","112/1933",0.366071428571429,5.36072781385281,12.8690559362097,5.00810977095807e-22,3.63445680520957e-20,2.25427697960919e-20,"ANXA1/ATR/TGFB2/TERF2/PSMA8/TNKS/PNKP/CENATAC/CEP135/WNT3A/XRCC3/RB1/CNTROB/GIT1/SMIM22/RPS6KA2/IER3/CDK10/MCRS1/SLF2/KNTC1/ATM/BCL7A/IGF2/HECW2/CPAP/PARP3/GPER1/TOM1L2/NAA10/MCIDAS/BMP7/SPC24/HNRNPU/CEP295/CROCC/CHMP4C/CUL7/UPF1/CHMP2B/UBE2B",41
"GO:0140014","mitotic nuclear division","18/132","21/1933",0.857142857142857,12.5519480519481,14.4063712032121,3.74624833522695e-19,2.37886769286911e-17,1.47549605483939e-17,"SEH1L/PPP1R9B/MAP10/XRCC3/RB1/KIFC1/NUDC/KNTC1/ATM/IGF2/TOM1L2/BMP7/SPC24/HNRNPU/CHMP4C/CUL7/CHMP2B/CEP85",18
"GO:0006974","DNA damage response","32/132","86/1933",0.372093023255814,5.44890768146582,11.4235961656411,2.44679273077223e-17,1.43419696988341e-15,8.89562701309093e-16,"MCM5/ATR/TERF2/NYNRIN/ASCC3/PNKP/TAOK3/XRCC3/SYF2/CDKN2D/POLD2/SUPT16H/RAD54L/C14orf39/CEP164/IER3/HSF2BP/MCRS1/SLF2/ATM/BCL7A/ZNF365/WDR76/PARP3/CLSPN/TICRR/FGF10/MCM6/FOXM1/MDC1/UPF1/UBE2B",32
"GO:0006260","DNA replication","19/132","27/1933",0.703703703703704,10.3049943883277,13.1786286254596,2.79069812869503e-17,1.57519405486342e-15,9.77016342911556e-16,"MCM5/ATR/TERF2/NYNRIN/ASCC3/PNKP/RBMS1/HCRT/POLD2/SUPT16H/MCRS1/ATM/ZNF365/ORC2/TICRR/MCM6/POLG2/MCIDAS/UPF1",19
