Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules (GO:0098742),62/172,6.75860933532416e-06,0.0179602567822335,0,0,2.0884238684903136,24.8620458617867,PTPRT;ROBO3;TENM1;ROBO4;TENM2;PTPRS;TENM3;PTPRM;CLDN2;TRO;CDH5;CDH4;MPZ;HMCN2;LGALS7;SCARF1;GRID2;TGFBR2;CLDN11;CLDN5;CLDN10;CLDN8;CDH10;IL1RAPL1;CDH12;CDHR3;CLDN19;PECAM1;CDH13;CLDN18;DSG1;DSCAML1;CRB1;NLGN1;AMIGO1;AMIGO2;NEXN;SLITRK2;CDH22;SLITRK3;CDH23;LRRC4C;LRRC4B;CADM3;CADM2;CNTN6;L1CAM;PCDHB11;SELE;SELP;SDK1;LRFN5;CD209;FAT2;PCDHB5;ESAM;PCDHB4;CNTN4;FAT4;NECTIN3;ADGRL3;CBLN1
GO_Biological_Process_2023,Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188),59/163,9.634157105445254e-06,0.0179602567822335,0,0,2.101338902975137,24.270875650680487,CHRM2;GLP1R;VIPR1;VIPR2;ADM;ADRA1D;PTH1R;ADRA1B;AKAP12;ADGRE3;GPER1;FFAR3;LHCGR;AVPR2;GLP2R;NPY1R;PTH2R;ADRA2A;ADGRF1;ADRB3;ADGRB3;ADGRF5;PTGER4;PTGFR;ADCYAP1R1;RAMP2;RAMP3;PTGER3;ADCY4;ADRB2;ADCY8;CRHR1;ADCY6;GNAI1;PTHLH;CRHR2;ADCY5;ADGRG3;ADGRG4;ADGRG2;CALCR;GRK5;CNR1;DRD1;P2RY12;PDE2A;SCTR;OPRK1;TSHR;MARCO;ADGRD1;GNAL;ADM5;ADGRD2;ADGRL4;VIP;ADGRL2;ADGRL3;PF4
GO_Biological_Process_2023,Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway (GO:0007189),43/110,1.7757608509885983e-05,0.0179602567822335,0,0,2.37385362344902,25.966864287775717,GLP1R;PTGER4;PTGFR;RAMP2;RAMP3;PTGER3;ADCY4;ADRB1;ADM;ADRA1D;ADRB2;PTH1R;ADRA1B;ADCY8;CRHR1;ADCY6;PTHLH;ADCY5;ADGRG3;ADGRG4;ADGRG2;CALCR;GNG2;ADGRE3;GPER1;DRD1;DRD2;LHCGR;ADRA2B;ADRA2A;TSHR;ADGRD1;ADGRF1;ADRB3;ADGRB3;ADM5;ADGRD2;ADGRF5;ADGRL4;VIP;ADGRL2;ADGRL3;PF4
GO_Biological_Process_2023,Chloride Transport (GO:0006821),33/77,1.808961129606711e-05,0.0179602567822335,0,0,2.771623851048786,30.266611240427338,GABRB3;CLIC5;GABRB1;TTYH1;CLCNKB;CLCNKA;SLC1A3;SLC4A1;SLC5A1;SLC1A7;CLCN1;GLRA3;SLC17A7;CLIC2;GABRE;GABRA2;SLC12A4;GABRA4;ANO6;ANO4;ANO5;GABRG3;ANO2;ANO3;GABRG1;CLCN6;CLCN4;GLRB;FXYD1;SLC26A7;NMUR1;CFTR;SLC26A5
GO_Biological_Process_2023,Ethanol Oxidation (GO:0006069),7/7,2.034004165598368e-05,0.0179602567822335,0,0,110068.0,1189055.7016299907,ADH4;ACSS2;ADH1C;ADH1B;ADH1A;ADH7;ADH6
GO_Biological_Process_2023,Regulation Of Angiogenesis (GO:0045765),69/205,2.9853766150585062e-05,0.0219673962591388,0,0,1.8798710832086576,19.586751957169508,SEMA5A;HSPB6;PDE3B;PTPRM;PRL;ISM1;FGF1;FGF2;AQP1;CDH5;BMPER;ADGRA2;HYAL1;ADAMTS1;CCN6;STAB1;KDR;EMILIN2;ITGB8;CD34;HOXA5;PPP1R16B;SEMA6A;PTGIS;ANXA3;SERPINF1;SPINK5;PRKCA;NRG1;DCN;CLDN5;SFRP1;TNMD;RHOJ;COL4A3;APLNR;PPARG;PRKD1;ANGPTL4;RAPGEF3;EPHA2;FOXC1;RAMP2;NPR1;CHRNA7;ECSCR;TWIST1;KLK3;SEMA3E;FOXO4;RRAS;CNMD;SASH1;ANGPT4;TNFSF12;DAB2IP;VEGFB;VEGFD;KLF4;SMOC2;FGF16;IL6;RGCC;LEP;CNTN1;SPRY2;TEK;NODAL;PF4
GO_Biological_Process_2023,Regulation Of Endothelial Cell Proliferation (GO:0001936),37/93,4.255148456200562e-05,0.0268378291916078,0,0,2.442102247834732,24.5792604807068,SEMA5A;FLT4;ITGB3;PTPRM;PRL;FGF2;ATOH8;KDR;CNMD;PPP1R16B;STAT5A;CCL24;EGFL7;EGR3;ANGPT1;CAV2;EGF;CAV1;TIE1;TNFSF12;VEGFB;PRKCA;VEGFD;PROX1;BMP4;FGF16;NR4A1;BMP2;RGCC;TNMD;LEP;CNTN1;CDH13;ANG;PRKD1;TEK;VIP
GO_Biological_Process_2023,Muscle Organ Development (GO:0007517),26/58,5.42177463690323e-05,0.0299214187774097,0,0,2.999941176470588,29.466929043730048,CHODL;TAGLN;CTF1;MSTN;LAMA2;FHL1;TCF21;SGCE;SGCA;CAPN3;DMD;SOX6;SGCG;MEF2C;EGR3;CAV3;IGF1;KY;POU6F1;MYH3;DES;MYMX;ITGA7;MKX;UTRN;HBEGF
GO_Biological_Process_2023,Prostanoid Metabolic Process (GO:0006692),11/16,6.239496295847502e-05,0.030608195717963,0,0,8.108276670574444,78.50454560185636,HPGDS;GSTM1;HPGD;AKR1C1;GSTP1;GSTA1;AKR1C3;AKR1C2;AKR1C4;CYP4F8;CES1
GO_Biological_Process_2023,Positive Regulation Of Epithelial Cell Proliferation (GO:0050679),45/123,7.778252556539288e-05,0.0343409850371209,0,0,2.1334290856862355,20.1856393226892,SEMA5A;YAP1;FLT4;ITGB3;LAMC1;PTN;FGF2;EGFR;TGM1;FGF7;FGF9;HYAL1;MYC;KDR;SCN5A;PPP1R16B;STAT5A;OSR2;CCL24;EGFL7;EGR3;EGF;ODAM;TNFSF12;VEGFB;PRKCA;VEGFD;IGF1;PROX1;BMP6;BMP5;BMP4;NR4A1;SFRP1;BMP2;NR4A3;CNTN1;CDH13;ANG;PRKD1;TEK;VIP;LACRT;NODAL;FGF10
