Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Negative Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0045841),18/28,2.6297659205067086e-10,5.207220488437449e-07,0,0,12.437465346534651,274.3575019665401,ZWILCH;PLK1;BUB1B;TTK;TEX14;HASPIN;NDC80;ZWINT;CDC20;CENPF;NUF2;KNTC1;FBXO5;TRIP13;BUB1;SPC24;MAD2L1;SPC25
GO_Biological_Process_2023,Mitotic Spindle Assembly Checkpoint Signaling (GO:0007094),17/26,5.644683456300758e-10,5.207220488437449e-07,0,0,13.047242016363157,277.8428037181759,ZWILCH;PLK1;BUB1B;TTK;TEX14;HASPIN;NDC80;ZWINT;CDC20;CENPF;NUF2;KNTC1;TRIP13;BUB1;SPC24;MAD2L1;SPC25
GO_Biological_Process_2023,Mitotic Spindle Checkpoint Signaling (GO:0071174),17/26,5.644683456300758e-10,5.207220488437449e-07,0,0,13.047242016363157,277.8428037181759,ZWILCH;PLK1;BUB1B;TTK;TEX14;HASPIN;NDC80;ZWINT;CDC20;CENPF;NUF2;KNTC1;TRIP13;BUB1;SPC24;MAD2L1;SPC25
GO_Biological_Process_2023,Spindle Assembly Checkpoint Signaling (GO:0071173),17/26,5.644683456300758e-10,5.207220488437449e-07,0,0,13.047242016363157,277.8428037181759,ZWILCH;PLK1;BUB1B;TTK;TEX14;HASPIN;NDC80;ZWINT;CDC20;CENPF;NUF2;KNTC1;TRIP13;BUB1;SPC24;MAD2L1;SPC25
GO_Biological_Process_2023,Mitotic Sister Chromatid Segregation (GO:0000070),39/111,1.0861415527499216e-09,8.015724659294423e-07,0,0,3.7607328274760383,77.62391091934312,CDCA5;NCAPG2;KIF14;CDCA8;NCAPG;KIF11;SMC4;NCAPH;CCNB1;DSN1;NUSAP1;RRS1;KNTC1;SPDL1;MISP;CEP55;DLGAP5;SPAG5;PLK1;KIF23;TEX14;KIF22;KNSTRN;NDC80;ZWINT;SGO1;TPX2;CENPE;KIF18A;KIF18B;PSRC1;ESPL1;KIFC2;KIFC1;CENPI;PRC1;CENPK;CHMP4C;KIF2C
GO_Biological_Process_2023,Sister Chromatid Segregation (GO:0000819),18/34,2.0628076799128657e-08,1.2686267231464123e-05,0,0,7.770742574257426,137.51582202108528,TOP2A;SPAG5;NCAPG2;PLK1;SMC4;KNSTRN;NDC80;ZWINT;SGO1;DSN1;KIF18A;KIF18B;ESPL1;CENPI;KIFC1;CENPK;NUSAP1;KNTC1
GO_Biological_Process_2023,Microtubule Cytoskeleton Organization Involved In Mitosis (GO:1902850),23/59,3.2684351959067015e-07,0.00017229322675565325,0,0,4.416699735449735,65.95804122866275,STIL;PLK1;CDCA8;TTK;KIF11;WDR62;AURKB;NDC80;FAM110A;CENPE;CCNB1;ESPL1;KIF4B;KIF4A;NUF2;STMN1;NUSAP1;CDK1;TACC3;RCC1;BIRC5;DLGAP5;SPC25
GO_Biological_Process_2023,Mitotic Nuclear Division (GO:0140014),19/45,8.060416326015476e-07,0.00037178670303746384,0,0,5.046766426916982,70.81183804850804,SPAG5;UBE2C;NCAPG2;PLK1;SMC4;KNSTRN;NDC80;ZWINT;SGO1;DSN1;KIF18A;KIF18B;ESPL1;CENPI;KIFC1;UBE2S;CENPK;NUSAP1;KNTC1
GO_Biological_Process_2023,"Protein Localization To Chromosome, Centromeric Region (GO:0071459)",11/18,1.8528380753191008e-06,0.0007596636108808313,0,0,10.829948092981269,142.9422322460304,MTBP;H2AC8;H4C9;ZWILCH;H2BC11;CDK1;TTK;KNL1;SPDL1;HASPIN;CENPA
GO_Biological_Process_2023,Mitotic Spindle Organization (GO:0007052),26/85,1.174104747910478e-05,0.0043324465197896,0,0,3.0460529416914137,34.58007088777226,CDCA8;TTK;KIF11;WDR62;AURKB;AURKA;FAM110A;CCNB1;NUF2;STMN1;RCC1;MISP;DLGAP5;STIL;PLK1;KIF23;NDC80;CENPE;TPX2;KIFC2;KIFC1;KIF4B;PRC1;KIF4A;BIRC5;SPC25
