,PC1,PC2,condition,patient_id
TCGA-A7-A0DB_Normal,84.31889342620867,-12.042368362697184,Normal,TCGA-A7-A0DB
TCGA-A7-A0DB_Tumor,-26.388817700855512,-196.1143434684414,Tumor,TCGA-A7-A0DB
TCGA-A7-A0DC_Normal,61.07082952909805,-0.8157029981564071,Normal,TCGA-A7-A0DC
TCGA-A7-A0DC_Tumor,-35.494749179684916,-150.69848607519165,Tumor,TCGA-A7-A0DC
TCGA-AC-A2FM_Normal,23.163174363474226,75.00054664960355,Normal,TCGA-AC-A2FM
TCGA-AC-A2FM_Tumor,-58.394911711375734,-13.661921791222518,Tumor,TCGA-AC-A2FM
TCGA-BH-A0AY_Normal,59.61392167658393,29.68196246701491,Normal,TCGA-BH-A0AY
TCGA-BH-A0AY_Tumor,-39.68042374775475,6.845151728050634,Tumor,TCGA-BH-A0AY
TCGA-BH-A0AZ_Normal,28.283670312781915,3.5650399894336324,Normal,TCGA-BH-A0AZ
TCGA-BH-A0AZ_Tumor,-21.525921959732834,5.843817032459637,Tumor,TCGA-BH-A0AZ
TCGA-BH-A0B7_Normal,19.78394521318533,16.017465708794813,Normal,TCGA-BH-A0B7
TCGA-BH-A0B7_Tumor,-36.72213539762353,32.472086269775254,Tumor,TCGA-BH-A0B7
TCGA-BH-A0BW_Normal,8.045265040555813,47.36642766651749,Normal,TCGA-BH-A0BW
TCGA-BH-A0BW_Tumor,-66.22708852362291,36.74820204380994,Tumor,TCGA-BH-A0BW
TCGA-BH-A0BZ_Normal,71.59639985181836,7.066440274809224,Normal,TCGA-BH-A0BZ
TCGA-BH-A0BZ_Tumor,-80.55470419916331,34.819588630979354,Tumor,TCGA-BH-A0BZ
TCGA-BH-A0C0_Normal,29.602420244987545,21.656456785164536,Normal,TCGA-BH-A0C0
TCGA-BH-A0C0_Tumor,-86.24680501520722,44.38879682758203,Tumor,TCGA-BH-A0C0
TCGA-BH-A0DD_Normal,100.05545885584846,-24.84805815828083,Normal,TCGA-BH-A0DD
TCGA-BH-A0DD_Tumor,-88.08664590650298,-21.568853409587295,Tumor,TCGA-BH-A0DD
TCGA-BH-A0DL_Normal,49.62821997768947,26.04336156327934,Normal,TCGA-BH-A0DL
TCGA-BH-A0DL_Tumor,-77.59989962758691,60.21365731905934,Tumor,TCGA-BH-A0DL
TCGA-BH-A18P_Normal,82.22056019481194,-8.551374161689285,Normal,TCGA-BH-A18P
TCGA-BH-A18P_Tumor,-66.86000437783851,-14.459987453607525,Tumor,TCGA-BH-A18P
TCGA-BH-A1EV_Normal,47.86541185214612,-1.237506674946047,Normal,TCGA-BH-A1EV
TCGA-BH-A1EV_Tumor,-70.19760111006738,-20.811690062547537,Tumor,TCGA-BH-A1EV
TCGA-BH-A1F8_Normal,51.252453376771975,25.042965729110843,Normal,TCGA-BH-A1F8
TCGA-BH-A1F8_Tumor,-81.95160832645506,-41.25704967897587,Tumor,TCGA-BH-A1F8
TCGA-BH-A1FC_Normal,50.34921445260397,28.89089068407689,Normal,TCGA-BH-A1FC
TCGA-BH-A1FC_Tumor,-92.74402435933293,55.73480751993785,Tumor,TCGA-BH-A1FC
TCGA-BH-A1FH_Normal,56.97039519045384,34.999351239962664,Normal,TCGA-BH-A1FH
TCGA-BH-A1FH_Tumor,8.699312553756666,4.2857736509254885,Tumor,TCGA-BH-A1FH
TCGA-BH-A1FM_Normal,59.340282579191104,12.900749360950993,Normal,TCGA-BH-A1FM
TCGA-BH-A1FM_Tumor,-72.60186524285386,-66.81248380176358,Tumor,TCGA-BH-A1FM
TCGA-BH-A203_Normal,68.06618739955208,-1.2801331846277733,Normal,TCGA-BH-A203
TCGA-BH-A203_Tumor,-71.59923547892683,13.086254938984045,Tumor,TCGA-BH-A203
TCGA-E2-A158_Normal,89.12990485207757,-2.0065970443117394,Normal,TCGA-E2-A158
TCGA-E2-A158_Tumor,-70.49582716254757,17.58181133567253,Tumor,TCGA-E2-A158
TCGA-E2-A1LH_Normal,11.439968035681295,34.02193624438392,Normal,TCGA-E2-A1LH
TCGA-E2-A1LH_Tumor,-58.26572526562092,75.81622626402549,Tumor,TCGA-E2-A1LH
TCGA-E2-A1LS_Normal,99.58937971062014,-38.4465560024153,Normal,TCGA-E2-A1LS
TCGA-E2-A1LS_Tumor,-38.537183591852,-17.30650255567441,Tumor,TCGA-E2-A1LS
TCGA-E9-A1N9_Normal,46.426652060287466,19.090454405663206,Normal,TCGA-E9-A1N9
TCGA-E9-A1N9_Tumor,-58.99026970016494,2.298819549517185,Tumor,TCGA-E9-A1N9
TCGA-E9-A1R7_Normal,93.29023601042658,-11.347852147669755,Normal,TCGA-E9-A1R7
TCGA-E9-A1R7_Tumor,-74.66289802468096,-42.94025255869988,Tumor,TCGA-E9-A1R7
TCGA-E9-A1RH_Normal,91.85953651763637,-12.070827741867118,Normal,TCGA-E9-A1RH
TCGA-E9-A1RH_Tumor,-76.98329701166675,-3.5216951704012853,Tumor,TCGA-E9-A1RH
TCGA-E9-A1RI_Normal,102.64187315318786,-46.583262919322806,Normal,TCGA-E9-A1RI
TCGA-E9-A1RI_Tumor,-43.49192381031831,-23.095536457447338,Tumor,TCGA-E9-A1RI
