sample_id,library_size,condition,genes_detected,detection_rate
TCGA-A7-A0DB_Normal,55090019,Normal,32845,0.5143604359809572
TCGA-A7-A0DB_Tumor,21554476,Tumor,38190,0.5980643948884992
TCGA-A7-A0DC_Normal,56430412,Normal,35131,0.5501597344024054
TCGA-A7-A0DC_Tumor,31987296,Tumor,39923,0.6252035830618893
TCGA-AC-A2FM_Normal,66404554,Normal,35144,0.5503633174642947
TCGA-AC-A2FM_Tumor,69873545,Tumor,35622,0.5578489100476071
TCGA-BH-A0AY_Normal,56870193,Normal,34443,0.5393854923578051
TCGA-BH-A0AY_Tumor,60931440,Tumor,30705,0.48084753194688046
TCGA-BH-A0AZ_Normal,75727351,Normal,39002,0.6107805061388123
TCGA-BH-A0AZ_Tumor,57560412,Tumor,33936,0.5314457529441243
TCGA-BH-A0B7_Normal,54715047,Normal,37712,0.5905788023051867
TCGA-BH-A0B7_Tumor,69198321,Tumor,35792,0.5605111500876974
TCGA-BH-A0BW_Normal,58656226,Normal,39130,0.612785016286645
TCGA-BH-A0BW_Tumor,62749126,Tumor,36586,0.5729453770984716
TCGA-BH-A0BZ_Normal,71778101,Normal,36190,0.5667439238286144
TCGA-BH-A0BZ_Tumor,80312560,Tumor,34523,0.5406383112002004
TCGA-BH-A0C0_Normal,77059766,Normal,37393,0.585583187171135
TCGA-BH-A0C0_Tumor,52565460,Tumor,33728,0.5281884239538963
TCGA-BH-A0DD_Normal,67746180,Normal,34243,0.5362534452518166
TCGA-BH-A0DD_Tumor,64018909,Tumor,35122,0.550018792282636
TCGA-BH-A0DL_Normal,78963965,Normal,38357,0.6006796542219995
TCGA-BH-A0DL_Tumor,84274282,Tumor,36168,0.5663993986469557
TCGA-BH-A18P_Normal,66351584,Normal,35598,0.5574730643948885
TCGA-BH-A18P_Tumor,60097122,Tumor,33375,0.5226603608118267
TCGA-BH-A1EV_Normal,101319722,Normal,39366,0.6164808318717113
TCGA-BH-A1EV_Tumor,67106319,Tumor,35774,0.5602292658481584
TCGA-BH-A1F8_Normal,42719761,Normal,34662,0.5428150839388625
TCGA-BH-A1F8_Tumor,87053343,Tumor,35044,0.5487972939113004
TCGA-BH-A1FC_Normal,40561090,Normal,35164,0.5506765221748935
TCGA-BH-A1FC_Tumor,90468038,Tumor,34826,0.545383362565773
TCGA-BH-A1FH_Normal,47798972,Normal,35327,0.5532291405662741
TCGA-BH-A1FH_Tumor,80786166,Tumor,37325,0.584518291155099
TCGA-BH-A1FM_Normal,80881514,Normal,38068,0.5961538461538461
TCGA-BH-A1FM_Tumor,76835988,Tumor,33844,0.5300050112753696
TCGA-BH-A203_Normal,71160161,Normal,38614,0.6047043347531947
TCGA-BH-A203_Tumor,74804486,Tumor,36884,0.5776121272863944
TCGA-E2-A158_Normal,45531930,Normal,34291,0.5370051365572538
TCGA-E2-A158_Tumor,74492382,Tumor,35706,0.5591643698321223
TCGA-E2-A1LH_Normal,47706628,Normal,35487,0.5557347782510649
TCGA-E2-A1LH_Tumor,43304901,Tumor,34154,0.5348596842896517
TCGA-E2-A1LS_Normal,90896568,Normal,34788,0.5447882736156352
TCGA-E2-A1LS_Tumor,85108222,Tumor,35101,0.5496899273365071
TCGA-E9-A1N9_Normal,66113924,Normal,37403,0.5857397895264345
TCGA-E9-A1N9_Tumor,53100712,Tumor,34738,0.5440052618391381
TCGA-E9-A1R7_Normal,70934673,Normal,36185,0.5666656226509647
TCGA-E9-A1R7_Tumor,71298798,Tumor,34451,0.5395107742420446
TCGA-E9-A1RH_Normal,76365556,Normal,35700,0.5590704084189426
TCGA-E9-A1RH_Tumor,83142979,Tumor,34854,0.5458218491606114
TCGA-E9-A1RI_Normal,81341609,Normal,36405,0.570110874467552
TCGA-E9-A1RI_Tumor,76726488,Tumor,37368,0.5851916812828865
